complaint_text,category,priority
Power slightly unstable in late night hours near municipal office,Electrical,Low
"Drinking water severely contaminated in near petrol pump area, residents vomiting after consuming it",Water,Critical
Anti-social activity near slum area park every night,Public Safety,Medium
"School van damaged due to pothole near Ward C, parents upset and worried",Roads,Medium
Drain gradient wrong near garbage depot causing water to flow backward onto road,Drainage,Medium
"No speed limit signage on near police station road stretch, vehicles overspeeding",Traffic,Medium
"School van damaged due to pothole near new colony, parents upset and worried",Roads,Medium
Broken manhole cover near highway road lane needs replacement before monsoon,Drainage,Medium
Bumpy road surface near water tank causing back pain complaints from daily commuters,Roads,Low
"Streetlight near slum area park out for 3 days, dark patch on road at night",Electrical,Medium
Road bump too high near Ward D causing undercarriage damage to cars,Roads,Medium
"Entire near metro station ward without water for 4 consecutive days, critical humanitarian issue",Water,Critical
Illegal liquor shop operating openly near petrol pump school zone,Public Safety,High
"Streetlight at near sewage treatment plant glowing orange instead of white, likely failing",Electrical,Medium
"Bins near flyover overflowing, need immediate emptying",Sanitation,Medium
Sanitation worker complaint: not provided gloves or safety equipment at near government hospital,Sanitation,Medium
Broken road divider at near post office enabling dangerous wrong-way driving,Traffic,High
Uncleared construction debris at near primary school causing night-time road accidents,Roads,High
"Ongoing problem since days: water available only at odd hours near sewage treatment plant, residents missing their work",Water,Medium
"Trees grown into electric lines near industrial zone, trimming needed urgently",Electrical,Medium
Park boundary wall broken at near municipal school allowing encroachment,Public Safety,Medium
Electrical cabinet door open with live wires exposed near highway road bus stand,Electrical,Critical
"No sanitation visit to near highway road for a week, waste piling on streets",Sanitation,High
"Housing society drain near Ward G reduced flow, needs cleaning",Drainage,Medium
Repeated complaint about household waste regularly thrown into drain at near cremation ground by nearby shops,Drainage,Medium
E-waste dumped illegally near garbage depot residential lane,Waste Management,High
Suspicious unattended bag found near Ward D bus terminal,Public Safety,Critical
"Critical issue: open sewer at Ward C during Eid / Diwali festival time, health risk for gathering crowds",Drainage,High
"Zebra crossing near children's park completely faded, pedestrians confused",Traffic,Low
"Repeated complaint about dog bites reported near Ward E from a pack of strays, residents afraid",Public Safety,High
Unresolved problem: open electrical panel near garbage depot play area accessible to children,Public Safety,Critical
Sudden bridge closure near new colony causing gridlock on all alternate routes,Traffic,Critical
No traffic police at near sports complex busy intersection during peak hours,Traffic,High
Water board complaint number not responding for issue at Sector 4,Water,Medium
Rag pickers leaving scattered waste near children's park after sorting through bins,Sanitation,Medium
"Dog bites reported near stadium from a pack of strays, residents afraid",Public Safety,High
"Open sewer at near stadium during Eid / Diwali festival time, health risk for gathering crowds",Drainage,High
Wet market waste near new colony lying for 7 days attracting stray animals,Waste Management,High
Ongoing problem since days: municipal cleaner reported absent for 7 days in near river bridge zone,Sanitation,High
"Minor occasional discolouration of tap water in near petrol pump, not severe",Water,Low
Wet market waste near main market lying for 14 days attracting stray animals,Waste Management,High
Bumpy road surface near municipal office causing back pain complaints from daily commuters,Roads,Low
Electricity meter replaced at Ward C but billing not updated for 2 months,Electrical,Medium
"Water gushing from broken main at near civil hospital for 6 hours, no municipal response yet",Water,Critical
"Water supply has been absent at near flyover for 7 days, families buying expensive tankers",Water,High
"Bridge surface near municipal school developed cracks, heavy vehicles still using it",Roads,Critical
"Raw sewage contaminating municipal water tank near water tank, needs immediate sealing",Water,Critical
Broken water connection at Ward D causing both water loss and road deterioration,Water,High
Local resident complaint: household garbage bags left on road at near sewage treatment plant not being picked up for 10 days,Waste Management,High
Electric supply failure near Sector 4 for 3 hours during examinations,Electrical,High
"Small leakage at water meter junction box near municipal office, slow but continuous",Water,Medium
"Building boundary wall collapsed at Ward H market, people injured",Public Safety,Critical
"Drain cover slightly misaligned near Ward G, not a fall risk yet",Drainage,Low
Local resident complaint: garbage collected from near cremation ground but dumped near cremation ground park instead of depot,Sanitation,Medium
Garbage truck regularly missing near sewage treatment plant lane in daily route,Waste Management,Medium
"Open sewer at near cremation ground during Eid / Diwali festival time, health risk for gathering crowds",Drainage,High
Water pressure completely absent on upper floors of buildings near sewage treatment plant,Water,High
Anti-social elements gambling openly near new colony temple road at night,Public Safety,Medium
"Meter room flooded in near slum area society building, electrical safety risk",Electrical,High
Sewer line blocked near slum area causing wet patches in the road surface,Drainage,High
Choked storm drain near vegetable market floods road with every rainfall,Drainage,High
Local resident complaint: wet market waste near housing society lying for 6 days attracting stray animals,Waste Management,High
CCTV cameras near new colony vandalised and non-functional for 2 weeks,Public Safety,High
"Trees grown into electric lines near Ward B, trimming needed urgently",Electrical,Medium
Household waste regularly thrown into drain at near main market by nearby shops,Drainage,Medium
"Drainage channel collapsed near fire station road, blocking drainage and traffic",Drainage,High
Solar streetlight near slum area park charging but not illuminating,Electrical,Low
"Road blocked at near fire station due to large protest, ambulances completely unable to pass",Traffic,Critical
"Underground cable at near overbridge damaged during road digging, supply affected",Electrical,High
Repeated complaint about open electrical panel near primary school play area accessible to children,Public Safety,Critical
School van almost hit due to blind turn near bank without any mirror,Traffic,High
New light poles installed near municipal office colony but connections still pending,Electrical,Medium
Water leakage from main pipeline near temple road wasting thousands of litres every day,Water,High
Youth vandalising public property near Sector 9 park on weekends,Public Safety,Medium
"Follow-up complaint: dog bites reported near garbage depot from a pack of strays, residents afraid",Public Safety,High
"Storm drain grill broken near school area, debris clogging drain inside",Drainage,Medium
Speed guns needed at near bus stand stretch where overspeeding is daily complaint,Traffic,Medium
"Manhole overflowing with sewage at near children's park residential area, children playing nearby",Drainage,Critical
Request for speed breaker near government hospital school gate,Traffic,Low
Youth gathering and fighting near Ward H park regularly at night,Public Safety,High
"Dead animals thrown in drain near municipal office, immediate removal needed",Sanitation,High
Request for speed breaker near Ward G school gate,Traffic,Low
"Repeated complaint about bridge surface near primary school developed cracks, heavy vehicles still using it",Roads,Critical
"Painting of water pipeline poles peeling near municipal school, cosmetic issue",Water,Low
"Water available only at odd hours near college, residents missing their work",Water,Medium
No awareness about bio-medical waste in near housing society area near clinic,Waste Management,Medium
Heavy rain caused traffic chaos at near children's park due to waterlogging on road,Traffic,High
Drain gradient wrong near government hospital causing water to flow backward onto road,Drainage,Medium
Rodents and flies spreading from massive garbage pile near Ward D maternity ward,Sanitation,Critical
"Road construction near Sector 7 stopped midway 10 months ago, incomplete work causing hazard",Roads,High
"Ward representative reporting: electric junction box near Ward H submerged in rainwater, risk of electrocution",Electrical,Critical
Open electrical panel near highway road play area accessible to children,Public Safety,Critical
Demolition rubble blocking entire footpath near Sector 2 for over a week,Waste Management,High
Urgent issue reported: drain cleaning vehicle requested for Sector 4 area before upcoming monsoon,Drainage,Medium
"Local resident complaint: streetlight at near flyover glowing orange instead of white, likely failing",Electrical,Medium
Water board complaint number not responding for issue at near metro station,Water,Medium
Street vendor harassing women near bus stand bus stand daily,Public Safety,Medium
"Water from burst pipe flooding near public garden road, electricity poles at risk of shorting",Water,High
Drain near Ward B completely blocked causing 4-day waterlogging,Drainage,High
Demolition rubble blocking entire footpath near water tank for over a week,Waste Management,High
Multiple electric poles visibly tilted near Ward H after last week's storm,Electrical,High
Pedestrians forced to walk on road near Sector 9 because footpath completely broken,Roads,Medium
"Fire in shop near railway station, fire brigade delayed more than 30 minutes",Public Safety,Critical
Complaint from resident: broken electric insulator on pole near overbridge sparking during rainfall,Electrical,High
Youth gathering and fighting near stadium park regularly at night,Public Safety,High
Drain near housing society completely blocked causing 4-day waterlogging,Drainage,High
Pipe connection outside Ward E building dug up but not restored for 5 weeks,Water,Medium
Daily morning congestion at near public garden school due to chaotic vehicle drop-offs,Traffic,Medium
Follow-up complaint: drain cleaning vehicle requested for near stadium area before upcoming monsoon,Drainage,Medium
"Street dog carcass on road near old age home for 7 days, nobody removing it",Sanitation,High
"Critical issue: road gutter work left open near bank, no barricades or lights at night",Roads,High
Demolition rubble blocking entire footpath near primary school for over a week,Waste Management,High
"Deep crater on highway near police station causing severe vehicle accidents, ambulances blocked",Roads,Critical
Sewer line blocked near water tank causing wet patches in the road surface,Drainage,High
"Underground cable at near vegetable market damaged during road digging, supply affected",Electrical,High
Unresolved problem: speed guns needed at near toll plaza stretch where overspeeding is daily complaint,Traffic,Medium
Stagnant drain overflow near metro station creating mosquito breeding ground,Drainage,High
"Pothole formed due to water pipe burst near primary school bus stop, vehicle damage reported",Water,High
"Construction vehicle parked on busy road near bank since 3 days, blocking lane",Traffic,High
"Bins near overbridge without lids, waste scattering on road",Sanitation,Medium
"Drunk driving incident near water tank last night, no police present",Public Safety,High
Heavy rain caused traffic chaos at Sector 9 due to waterlogging on road,Traffic,High
"Drain near Ward D used for illegal waste disposal, causing blockage",Drainage,Medium
"Electric junction box near public garden submerged in rainwater, risk of electrocution",Electrical,Critical
Follow-up complaint: rag pickers leaving scattered waste near Ward B after sorting through bins,Sanitation,Medium
New housing colony at near grain market has no water connection despite full occupancy,Water,Medium
"Local resident complaint: drunk driving incident near Ward C last night, no police present",Public Safety,High
"Road blocked at Ward E due to large protest, ambulances completely unable to pass",Traffic,Critical
"School van damaged due to pothole near old age home, parents upset and worried",Roads,Medium
"Garbage uncollected for 10 days near Sector 4 hospital, disease outbreak risk",Sanitation,Critical
Garbage truck regularly missing Ward D lane in daily route,Waste Management,Medium
Urgent issue reported: pipe connection outside near highway road building dug up but not restored for 2 weeks,Water,Medium
"Trees grown into electric lines near metro station, trimming needed urgently",Electrical,Medium
"Road humps near old age home not painted, invisible at night",Roads,Low
"Dead animals thrown in drain near metro station, immediate removal needed",Sanitation,High
"Complaint from resident: waste compost site near highway road not maintained, rotting smell affecting residents",Waste Management,Medium
"Drinking water severely contaminated in near old age home area, residents vomiting after consuming it",Water,Critical
Urgent issue reported: pipe connection outside near temple road building dug up but not restored for 10 weeks,Water,Medium
Broken road edge near stadium causing vehicles to swerve occasionally,Roads,Medium
"Road washed away near garbage depot river bridge, village completely cut off",Roads,Critical
Tractor blocking near garbage depot road during harvest season causing daily backup,Traffic,Medium
Critical issue: new housing colony at near college has no water connection despite full occupancy,Water,Medium
Household garbage bags left on road at near new colony not being picked up for 3 days,Waste Management,High
Local resident complaint: garbage collected from near old age home but dumped near old age home park instead of depot,Sanitation,Medium
"Dead animal carcass on road near Sector 7 for 3 days, serious infection risk",Sanitation,Critical
Emergency ambulance stuck 40 minutes in traffic jam near bus stand signal,Traffic,Critical
"Repeated complaint about municipal water pressure test needed at Ward C, residents getting almost no flow",Water,High
Drain cleaning vehicle requested for school area area before upcoming monsoon,Drainage,Medium
"Water supply has been absent at near government hospital for 6 days, families buying expensive tankers",Water,High
Electric supply failure near highway road for 4 hours during examinations,Electrical,High
Ward representative reporting: tractor blocking near sports complex road during harvest season causing daily backup,Traffic,Medium
Frequent tripping near slum area hospital interrupting medical equipment operation,Electrical,High
Request for CCTV near overbridge dark lane,Public Safety,Low
Tractor blocking near temple road road during harvest season causing daily backup,Traffic,Medium
"Citizens request action on: open sewer at near police station during Eid / Diwali festival time, health risk for gathering crowds",Drainage,High
Rainwater outlet near Sector 4 blocked by plastic waste for 7 weeks,Drainage,High
"Drain near overbridge used for illegal waste disposal, causing blockage",Drainage,Medium
Request for proper drainage slope on near bank newly built road,Roads,Low
Sewage water standing near slum area school boundary for over a week,Drainage,High
"Ongoing problem since days: municipal water pressure test needed at near overbridge, residents getting almost no flow",Water,High
"Water from burst pipe flooding near civil hospital road, electricity poles at risk of shorting",Water,High
Ward representative reporting: speed guns needed at near garbage depot stretch where overspeeding is daily complaint,Traffic,Medium
Recyclables not separated at Sector 4 collection point,Waste Management,Medium
"Toxic industrial waste illegally dumped near old age home water body, leaching confirmed",Waste Management,Critical
Citizens request action on: wet market waste near railway station lying for 6 days attracting stray animals,Waste Management,High
Road surface cracking in near cremation ground residential area needs patching,Roads,Medium
Massive illegal dump near Ward E blocking natural drainage channel,Waste Management,Critical
Drain cleaning vehicle requested for near college area before upcoming monsoon,Drainage,Medium
Complaint from resident: bumpy road surface near college causing back pain complaints from daily commuters,Roads,Low
Local resident complaint: open electrical panel near main market play area accessible to children,Public Safety,Critical
"Repeated complaint about road gutter work left open near metro station, no barricades or lights at night",Roads,High
"Urgent issue reported: underground cable at near railway station damaged during road digging, supply affected",Electrical,High
"Armed robbery at near fire station ATM at midnight, area unlit and unpatrolled",Public Safety,Critical
"Trees grown into electric lines near garbage depot, trimming needed urgently",Electrical,Medium
"Drain near water tank used for illegal waste disposal, causing blockage",Drainage,Medium
Plastic waste burnt near new colony open ground by unknown persons,Waste Management,Medium
Speed guns needed at Sector 2 stretch where overspeeding is daily complaint,Traffic,Medium
"Repeated complaint about water available only at odd hours near new colony, residents missing their work",Water,Medium
"Trees grown into electric lines near old age home, trimming needed urgently",Electrical,Medium
Pipe connection outside Sector 2 building dug up but not restored for 6 weeks,Water,Medium
Request for dustbin installation near Ward E bus stop,Sanitation,Low
"Urgent issue reported: waste compost site near Ward F not maintained, rotting smell affecting residents",Waste Management,Medium
Garden waste not collected near Sector 9 park for 4 days,Waste Management,Medium
Ward representative reporting: tractor blocking near cremation ground road during harvest season causing daily backup,Traffic,Medium
Sewage mixing into road surface and entering houses in Ward C low-lying area,Drainage,Critical
Municipal cleaner reported absent for 10 days in near community hall zone,Sanitation,High
Citizens request action on: sewer line blocked near overbridge causing wet patches in the road surface,Drainage,High
"Bridge surface near fire station developed cracks, heavy vehicles still using it",Roads,Critical
"School van damaged due to pothole near primary school, parents upset and worried",Roads,Medium
"Electric junction box near Sector 12 submerged in rainwater, risk of electrocution",Electrical,Critical
Drain near cremation ground park emitting foul smell due to partial blockage,Drainage,Medium
Complaint from resident: local shop dumping polythene bags near Sector 7 drain daily,Waste Management,Medium
"Building boundary wall collapsed at near temple road market, people injured",Public Safety,Critical
"Follow-up complaint: trucks reversing on near fire station road without helper, hit a scooter yesterday",Traffic,High
Ward representative reporting: open electrical panel near primary school play area accessible to children,Public Safety,Critical
"Water tap near public garden drips occasionally, minor issue",Water,Low
Sewer line blocked near petrol pump causing wet patches in the road surface,Drainage,High
Water tanker not arriving on scheduled days in near new colony ward this week,Water,Medium
"Municipal water pressure test needed at Sector 4, residents getting almost no flow",Water,High
"Water available only at odd hours near river bridge, residents missing their work",Water,Medium
"Unresolved problem: trees grown into electric lines near old age home, trimming needed urgently",Electrical,Medium
"Woman felt followed near Ward G late at night, no patrol visible",Public Safety,High
New housing colony at near post office has no water connection despite full occupancy,Water,Medium
Municipal cleaner reported absent for 2 days in near public garden zone,Sanitation,High
Critical issue: street vendor harassing women near main market bus stand daily,Public Safety,Medium
Massive illegal dump near old age home blocking natural drainage channel,Waste Management,Critical
Ward representative reporting: electricity meter replaced at Ward H but billing not updated for 10 months,Electrical,Medium
Drain gradient wrong near railway station causing water to flow backward onto road,Drainage,Medium
"Complaint from resident: dead animals thrown in drain near Ward H, immediate removal needed",Sanitation,High
"Water supply has been absent at Ward C for 3 days, families buying expensive tankers",Water,High
No awareness about bio-medical waste in near government hospital area near clinic,Waste Management,Medium
"Zebra crossing near Ward D completely faded, pedestrians confused",Traffic,Low
"Dead animals thrown in drain near Ward E, immediate removal needed",Sanitation,High
Signal timing adjustment needed at near bank roundabout,Traffic,Low
"Zebra crossing near fire station completely faded, pedestrians confused",Traffic,Low
Emergency ambulance stuck 40 minutes in traffic jam near sports complex signal,Traffic,Critical
Unresolved problem: pipe connection outside Ward C building dug up but not restored for 3 weeks,Water,Medium
Pipeline explosion near public garden left 3 streets completely flooded and waterless,Water,Critical
Speed bump height slightly excessive near garbage depot school gate,Roads,Low
"Drain repair work near post office completed poorly, same problem recurring every rain",Drainage,Medium
"Seasonal drain near highway road overgrown with vegetation, blocking water flow",Drainage,Medium
"Open sewer at Sector 9 during Eid / Diwali festival time, health risk for gathering crowds",Drainage,High
"Garbage not picked up in near stadium ward for 7 days, unbearable stench",Sanitation,High
Hazardous waste from near toll plaza factory found floating in municipal water channel,Waste Management,Critical
"Trucks reversing on near overbridge road without helper, hit a scooter yesterday",Traffic,High
One of four streetlights not working near old age home garden,Electrical,Low
"Garbage bin near highway road garden broken, needs replacement",Sanitation,Low
Compost bins near slum area park overflowing and not emptied,Sanitation,Medium
"Street dog carcass on road near Ward E for 5 days, nobody removing it",Sanitation,High
Burning tyres near vegetable market causing black smoke pollution,Waste Management,High
Critical issue: municipal cleaner reported absent for 5 days in near industrial zone zone,Sanitation,High
Drain near Ward A park emitting foul smell due to partial blockage,Drainage,Medium
"Traffic signal malfunctioning at Ward H junction for 2 days, accidents occurring",Traffic,High
Pedestrians forced to walk on road near bus stand because footpath completely broken,Roads,Medium
Stray cattle blocking road near municipal office residential colony,Public Safety,Medium
Repeated complaint about tractor blocking near sports complex road during harvest season causing daily backup,Traffic,Medium
"Transformer exploded near police station market, fire spreading to adjacent shops",Electrical,Critical
Citizens request action on: electric supply failure near industrial zone for 5 hours during examinations,Electrical,High
Pedestrians forced to walk on road near bank because footpath completely broken,Roads,Medium
Pipeline trench near railway station left unrefilled for 3 weeks causing accidents,Roads,High
"Municipal water pressure test needed at near railway station, residents getting almost no flow",Water,High
"Ongoing problem since days: drain repair work near civil hospital completed poorly, same problem recurring every rain",Drainage,Medium
Municipal cleaner reported absent for 10 days in near water tank zone,Sanitation,High
Ward representative reporting: local shop dumping polythene bags near old age home drain daily,Waste Management,Medium
"Road construction near Ward D stopped midway 14 months ago, incomplete work causing hazard",Roads,High
Garbage collection vehicle skipping near children's park sector for 3 days,Sanitation,Medium
Electric supply failure near community hall for 5 hours during examinations,Electrical,High
Open electrical panel near metro station play area accessible to children,Public Safety,Critical
Broken water connection at near housing society causing both water loss and road deterioration,Water,High
Construction debris dumped on road near Sector 12 blocking traffic and storm drains,Waste Management,High
"Urgent issue reported: school van damaged due to pothole near Sector 4, parents upset and worried",Roads,Medium
"Fire in shop near Ward F, fire brigade delayed more than 30 minutes",Public Safety,Critical
Electric meter reading not conducted in Ward C ward for 2 months,Electrical,Medium
"Sparking junction box near public garden park where children play, immediate action needed",Electrical,Critical
Request to shift electric pole obstructing new driveway near Sector 2,Electrical,Low
"Dog bites reported near petrol pump from a pack of strays, residents afraid",Public Safety,High
Stray cattle on road near public garden causing minor inconvenience,Public Safety,Low
"Zebra crossing near bank completely faded, pedestrians confused",Traffic,Low
Significant pipe leakage near Ward H market junction wasting municipal water,Water,High
Public hand pump near industrial zone market not functioning for 10 days,Water,Medium
No awareness about bio-medical waste in near public garden area near clinic,Waste Management,Medium
"Street dog carcass on road near college for 14 days, nobody removing it",Sanitation,High
Drain near petrol pump overflowing slightly during moderate rain,Drainage,Medium
Broken road divider at near bus stand enabling dangerous wrong-way driving,Traffic,High
COVID waste disposal not happening at isolation centre near overbridge,Sanitation,Critical
Household garbage bags left on road at near new colony not being picked up for 14 days,Waste Management,High
Demolition rubble blocking entire footpath near railway station for over a week,Waste Management,High
Electricity meter replaced at near cremation ground but billing not updated for 2 months,Electrical,Medium
"Bridge surface near main market developed cracks, heavy vehicles still using it",Roads,Critical
New housing colony at near garbage depot has no water connection despite full occupancy,Water,Medium
Irregular water supply timing in near highway road making daily planning difficult for residents,Water,Medium
Complaint from resident: street vendor harassing women near housing society bus stand daily,Public Safety,Medium
Critical issue: no awareness about bio-medical waste in near highway road area near clinic,Waste Management,Medium
Upper floor flats in near toll plaza housing complex not getting water regularly,Water,Medium
Local resident complaint: broken electric insulator on pole near river bridge sparking during rainfall,Electrical,High
"No road discipline near Sector 12 junction, drivers ignoring markings",Traffic,Medium
Garden waste not collected near housing society park for 4 days,Waste Management,Medium
Garbage collection vehicle skipping near water tank sector for 3 days,Sanitation,Medium
"Street dog carcass on road near fire station for 14 days, nobody removing it",Sanitation,High
Sewer line blocked near Sector 2 causing wet patches in the road surface,Drainage,High
Street cleaning skipped near slum area market area since last week,Sanitation,Medium
"Waste compost site near sports complex not maintained, rotting smell affecting residents",Waste Management,Medium
Wet market waste near overbridge lying for 5 days attracting stray animals,Waste Management,High
One of four streetlights not working near community hall garden,Electrical,Low
"Dog bites reported near Ward C from a pack of strays, residents afraid",Public Safety,High
Minor overflow near cremation ground drain only during very heavy rain,Drainage,Low
"Zebra crossing near college completely faded, pedestrians confused",Traffic,Low
Municipal bins near school area market overflowing since 3 days,Sanitation,High
Road completely collapsed near railway station bridge after heavy overnight rain,Roads,Critical
"Entire near college road dark at night due to light failure, robberies increasing",Public Safety,High
Only one signal colour working at Ward B junction causing dangerous confusion,Traffic,High
Garbage collected from Sector 4 but dumped near Sector 4 park instead of depot,Sanitation,Medium
Broken electric insulator on pole near Ward B sparking during rainfall,Electrical,High
"Local resident complaint: trucks reversing on near stadium road without helper, hit a scooter yesterday",Traffic,High
"Meter room flooded in near old age home society building, electrical safety risk",Electrical,High
"Woman felt followed near overbridge late at night, no patrol visible",Public Safety,High
"Follow-up complaint: no road discipline near river bridge junction, drivers ignoring markings",Traffic,Medium
"Road cave-in near school area expanding every day, needs immediate patching",Roads,High
Ward representative reporting: cOVID waste disposal not happening at isolation centre near flyover,Sanitation,Critical
"Drunk driving incident near fire station last night, no police present",Public Safety,High
School van almost hit due to blind turn near Sector 9 without any mirror,Traffic,High
Fatal accident on near bank highway due to unmarked massive pothole last night,Roads,Critical
"Follow-up complaint: underground cable at near housing society damaged during road digging, supply affected",Electrical,High
"Complaint from resident: dog bites reported near vegetable market from a pack of strays, residents afraid",Public Safety,High
Unresolved problem: water board complaint number not responding for issue at near civil hospital,Water,Medium
Anti-social elements gambling openly near Sector 2 temple road at night,Public Safety,Medium
"Entire road surface disintegrated near railway station, multiple crashes today",Roads,Critical
Overflowing sewage at Ward B during heavy rain entering shops and homes,Drainage,High
Anti-social elements gambling openly near slum area temple road at night,Public Safety,Medium
"Drain near primary school garden has minor debris, still flowing slowly",Drainage,Low
"Critical issue: road gutter work left open near grain market, no barricades or lights at night",Roads,High
Irregular water supply timing in near police station making daily planning difficult for residents,Water,Medium
"Drainage pipeline burst near industrial zone market, sewage running through entire street",Drainage,Critical
Unresolved problem: bumpy road surface near Ward E causing back pain complaints from daily commuters,Roads,Low
"Bins near Ward G without lids, waste scattering on road",Sanitation,Medium
Citizens request action on: heavy rain caused traffic chaos at Sector 7 due to waterlogging on road,Traffic,High
Unresolved problem: leaking underground pipe near Sector 12 making road surface soft and sinking,Water,High
Youth vandalising public property near stadium park on weekends,Public Safety,Medium
Garbage collected from Sector 7 but dumped near Sector 7 park instead of depot,Sanitation,Medium
"Drain repair work near government hospital completed poorly, same problem recurring every rain",Drainage,Medium
"Wet and dry waste mixed by residents near river bridge, needs awareness drive",Waste Management,Medium
"Zebra crossing near metro station completely faded, pedestrians confused",Traffic,Low
Sanitation worker complaint: not provided gloves or safety equipment at near petrol pump,Sanitation,Medium
Hawkers occupying half the road near water tank bus stand,Traffic,Medium
Anti-social activity near school area park every night,Public Safety,Medium
"Dog bites reported near civil hospital from a pack of strays, residents afraid",Public Safety,High
New housing colony at near stadium has no water connection despite full occupancy,Water,Medium
Rag pickers leaving scattered waste near primary school after sorting through bins,Sanitation,Medium
"Signal cycle too short at near cremation ground junction, vehicles piling up",Traffic,Medium
Wet market waste near Sector 9 lying for 5 days attracting stray animals,Waste Management,High
E-waste dumped illegally near metro station residential lane,Waste Management,High
School van almost hit due to blind turn near water tank without any mirror,Traffic,High
"Road cave-in near post office expanding every day, needs immediate patching",Roads,High
"Road construction near grain market stopped midway 7 months ago, incomplete work causing hazard",Roads,High
"Deep crater on highway near toll plaza causing severe vehicle accidents, ambulances blocked",Roads,Critical
"Woman felt followed near Sector 2 late at night, no patrol visible",Public Safety,High
"Ward representative reporting: school van damaged due to pothole near Sector 12, parents upset and worried",Roads,Medium
Water board complaint number not responding for issue at near industrial zone,Water,Medium
Local resident complaint: anti-social elements gambling openly near government hospital temple road at night,Public Safety,Medium
"No sanitation visit to Sector 12 for a week, waste piling on streets",Sanitation,High
Pipe connection outside near municipal office building dug up but not restored for 3 weeks,Water,Medium
"Waste compost site near school area not maintained, rotting smell affecting residents",Waste Management,Medium
"Road near vegetable market hospital severely broken, hindering ambulance movement",Roads,High
Municipal cleaner reported absent for 7 days in near police station zone,Sanitation,High
"Municipal water pressure test needed at Ward E, residents getting almost no flow",Water,High
Local resident complaint: leaking underground pipe near Ward F making road surface soft and sinking,Water,High
"Burning smell from underground electrical duct near civil hospital road, smoke visible",Electrical,Critical
"Ongoing problem since days: drain repair work near water tank completed poorly, same problem recurring every rain",Drainage,Medium
Household garbage bags left on road at near industrial zone not being picked up for 6 days,Waste Management,High
Drain cleaning vehicle requested for near metro station area before upcoming monsoon,Drainage,Medium
"Waste collection timing changed abruptly, residents confused in near toll plaza area",Waste Management,High
Solar streetlight near housing society park charging but not illuminating,Electrical,Low
Unmarked manholes near college park pose safety risk at night,Public Safety,Medium
Garbage collected from Ward C but dumped near Ward C park instead of depot,Sanitation,Medium
"Drunk driving incident near Ward A last night, no police present",Public Safety,High
"Water supply has been absent at near community hall for 7 days, families buying expensive tankers",Water,High
Drain gradient wrong near Sector 2 causing water to flow backward onto road,Drainage,Medium
